	R100	R101	R102	R103	R104	R105	R106	R107	R108	R109	R10	R110	R111	R112	R113	R114	R115	R116	R117	R118	R119	R11	R120	R121	R122	R123	R124	R125	R126	R127	R128	R129	R12	R130	R131	R132	R13	R14	R15	R16	R17	R18	R19	R1	R20	R21	R22	R23	R24	R25	R26	R27	R28	R29	R2	R30	R31	R32	R33	R34	R35	R36	R37	R38	R39	R3	R40	R41	R42	R43	R44	R45	R46	R47	R48	R49	R4	R50	R51	R52	R53	R54	R55	R56	R57	R58	R59	R5	R6
1431_c00086_vamb384_MEGAHIT.k21-99.Full_1044	402.216	1.45533	0	14.7935	0	1.2842	34.2581	66.3481	0	2.39316	14.6044	55.011	0	0	10.903	158.242	0	35.3257	204.065	5.59787	204.699	0	918.179	30.1388	2.87764	1.27528	78.051	69.9221	37.6726	0	168.686	65.8188	54.4764	44.4565	41.3246	52.6634	2.87421	7.87567	38.805	864.257	72.3986	425.48	8.24558	105.597	65.0354	132.141	6.01594	488.549	212.834	81.1227	22.5305	18.3636	194.949	422.263	113.311	5.69586	30.9036	352.911	3.69562	50.781	11.6254	632.805	46.7991	150.405	366.134	82.5704	7.38259	202.202	218.384	19.4426	13.8491	38.9916	238.846	3.95878	132.319	8.13228	1792.52	28.8781	0	0	0	9.71654	0	0	27.8175	24.523	327.053	11.1118	40.2383
1432_c00087_vamb384_MEGAHIT.k21-99.Full_1044	0	0	0	0	0	0	0.189318	0	0	0.284738	0.753557	0.695401	0	0	0.250597	0	0	2.28033	0	0.492268	0	0	0	0.918045	0	0	0.206633	0.268874	2.15656	0	0	1.23723	0	7.25154	5.34548	8.87666	0	0	0.377352	0	0	2.73496	0	0.227211	2.59196	0	0	0	2.03057	0	0	0	0	0	0	0	1.41147	0	0	0	0	0.66593	0.194767	0	1.35135	0	0	0	1.26199	0	0	0	0	0	12.0866	0	0	0	0	0	1.3831	0	0	0	0	0	0	0	1.13826
1433_c00088_vamb384_MEGAHIT.k21-99.Full_1044	0	0	0	0	0	0	0	0	0	0	0.151648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.724265	0	0	2.43219	0	1.41029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.47476	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1434_c00089_vamb384_MEGAHIT.k21-99.Full_1044	3.72501	0.2471	0	0	0	0	0.381414	0	0	0.43025	0.455457	0	0	0	2.52437	1.62509	0	13.7825	15.5683	3.2232	60.3141	0	5.50222	1.29469	0	0	4.16302	1.0834	99.2074	0.894456	28.2782	3.48968	0	13.7632	15.6647	14.5895	0	0	1.52051	3.38621	2.25777	4.13263	0.35746	1.37327	0.65275	6.51367	0	3.24587	8.18194	6.29431	0	0	25.4661	5.02634	0.675046	0	0	13.8393	0	0	0	3.35409	0.196197	57.7196	1.36127	0	0	28.71	1.27123	0	0	8.17815	0	0	14.7844	0	0	0	0	0	0	0	0	0	0	0	6.63046	0	0
1435_c00090_vamb384_MEGAHIT.k21-99.Full_1044	96.9633	23.195	21.8314	10.594	0	40.3667	19.6257	32.9215	213.138	18.5518	31.0355	37.4575	15.9034	14.6214	15.0268	28.7911	1.67242	920.081	388.058	45.3452	790.018	118.644	2267.72	18.4906	0	0	25.917	19.854	1894.04	17.1462	401.259	28.3149	1.09792	314.965	344.632	351.982	11.8174	0	8.85179	155.446	275.628	78.759	43.2789	20.4002	19.4281	64.7887	37.1023	94.9705	107.068	110.022	7.46238	0	21.4052	16.6281	145.068	4.39382	16.6553	23.333	75.974	3.16329	4.48085	91.3688	13.8215	92.228	92.0187	42.433	26.5576	164.619	97.4739	57.0969	0	36.5843	16.4979	134.276	314.177	58.8569	51.0558	14.8407	0	69.7353	28.8228	176.447	8.88761	11.7487	0	42.8503	46.8276	118.014	24.9711
1436_c00091_vamb384_MEGAHIT.k21-99.Full_1044	1.51207	0.501518	0	0	0	0	0.387058	0	0	0	1.23255	0	0	0	2.04941	11.8741	0	16.3176	0	1.25802	0	0	0	0.187691	0	0	8.0269	6.87166	38.9488	0	39.7341	11.1299	0	33.1117	25.8322	25.3133	0	0	0	6.87251	9.16472	0	0.362763	3.25168	1.32484	38.559	0	1.09798	1.03789	10.276	0	0	0	0.836241	0.685037	0	0.412276	3.55588	0	0	0	3.40374	0.199102	0	4.14423	0	0	1.49843	2.58001	0	0	0	0	0	41.9214	0	13.6184	0	0	0	0	0	0	0	0	0	4.20541	0	0.581783
1437_c00092_vamb384_MEGAHIT.k21-99.Full_1044	12.1348	0	0	0	0	0	1.55312	0	0	0.876034	1.85468	0	0	0	0.513972	1.32352	0	21.0462	15.8484	2.01919	0	0	0	0.56485	0	0	1.69522	1.65442	30.2256	0	56.837	2.28378	0	24.2927	22.4255	32.1013	0	0	0.77398	3.4471	0.76614	0.46747	0.727824	3.49495	1.66129	3.31551	0	2.20289	1.04117	4.7364	0	0	0	0	1.37441	0	1.86112	0	0	0	0	2.7316	2.19704	0	19.4009	0	0	0	10.3526	0	0	0	0	0	92.9615	0.165375	10.7339	0	0	0	0	0	0	0	0	0	10.1249	0	3.20991
1438_c00093_vamb384_MEGAHIT.k21-99.Full_1044	9.12033	0	0	0	0	0.381314	0.778201	0	0	0.877889	2.32325	0	0	0	0	12.2684	0	21.0906	18.6845	0	0	0	0	0.377361	0	0	13.8028	4.42112	5.1714	4.56234	47.3409	9.4087	0	17.3886	21.9735	10.0829	0	0	0.775619	1.72718	6.90982	0	0.911705	3.73581	2.33072	37.1014	0	8.83019	0	2.23362	0	0	0	0	0	0	0.414459	0.714929	0	0	0	0.684343	0.400306	0	9.72092	0	0	0.753168	7.78082	0	0	0	0	0	48.797	2.15442	11.7345	0	0	0	0	0	0	7.91991	0	0	4.22762	0	1.75456
1439_c00094_vamb384_MEGAHIT.k21-99.Full_1044	3.05154	0	0	5.14395	0	0.382746	1.56225	0	0	0	2.17653	1.43458	0	0	0.775492	3.66109	0	2.35221	0	1.26941	27.216	0	11.2685	3.03022	0	9.31336	3.62353	9.43025	19.2804	0	9.65226	7.14686	2.22867	37.9002	24.5625	32.2904	0	0	0	1.73366	2.31193	1.41067	0.183028	1.17182	2.33948	4.44667	0	5.53962	7.33106	0	0.783535	0	1.20695	0.843805	2.76497	2.97127	0	0.717614	0	8.02639	1.51593	0	0	23.6413	0	0	0	0.755996	2.60333	0	0	19.1418	4.68838	0	40.075	0.166348	10.797	0	0	0	6.42008	0	0	0	17.0717	0	2.54611	0	2.05467
1440_c00095_vamb384_MEGAHIT.k21-99.Full_1044	29.1046	3.5565	0	0	0	2.88198	1.96055	0	0	1.03215	6.55552	5.04091	0	0	2.59523	16.7074	0	58.2515	29.1849	6.88195	0	0	0	1.33098	0	0	20.9715	10.86	157.09	0	49.9436	9.7378	0	51.0681	54.3525	59.0659	0	0	3.51736	62.659	11.6055	14.6349	4.04262	10.5882	4.69754	45.7592	0	53.3913	36.8008	13.5058	1.04887	0	0	2.54144	1.38797	1.49155	3.75909	0	0	0	0	21.3789	4.43746	0	34.9862	0	0	1.51798	26.1364	0	0	1.20112	1.34485	0	59.9041	6.68036	96.5725	0	0	0	0	3.39249	0	0	0	0	27.2663	15.5162	6.18844
