	R100	R101	R102	R103	R104	R105	R106	R107	R108	R109	R10	R110	R111	R112	R113	R114	R115	R116	R117	R118	R119	R11	R120	R121	R122	R123	R124	R125	R126	R127	R128	R129	R12	R130	R131	R132	R13	R14	R15	R16	R17	R18	R19	R1	R20	R21	R22	R23	R24	R25	R26	R27	R28	R29	R2	R30	R31	R32	R33	R34	R35	R36	R37	R38	R39	R3	R40	R41	R42	R43	R44	R45	R46	R47	R48	R49	R4	R50	R51	R52	R53	R54	R55	R56	R57	R58	R59	R5	R6
1_c00001_vamb384_MEGAHIT.k21-141.Full_110	0.0453048	0.255555	0	0	0	0.336035	0	0	0	0.303913	0.848695	0	0	0	0.0921013	0.0177443	0	3.25084	0.149745	0.0603995	0	0	0	0	0	0	0	0	23.2218	0	4.67554	0.0271417	0	38.6191	38.8412	39.0748	0	0	0.0230735	0	0.0458016	0.0499026	0.217008	0	0.039682	0	0	0.0593226	0.0558003	1.27723	0.0138503	0.338719	0.0320709	0	0.220583	0	0	0	0	0	0	0	0.0106811	0	0	0	0	0	0	0	0	0.0635682	0	0	15.4105	0.618557	0	0	0	0	0	0	0	0	0	0	0	0	0.104718
2_c00002_vamb384_MEGAHIT.k21-141.Full_110	1.32587	1.69614	0	0	0	3.04317	0	0	0	6.88425	12.6929	0.1783	0	0	21.5294	0	0	17.3262	0.233064	0.252423	0	0	0	0	0	0	0	0.275187	198.963	0	48.298	0.253521	0	253.651	273.624	248.289	0	0	25.0929	0	8.42379	0	1.76993	0	1.24437	0	0	0.82533	0	15.2725	3.36544	0	0	0	0	0	0	0	0	0	0	0.17059	0	0	0	0	0	0	0	0	0	0	0	0	126.655	5.2009	0	0	0	0	0	0	0	0	0	0	0	0	0
3_c00003_vamb384_MEGAHIT.k21-141.Full_110	0	0.0662598	0	0	0	0.401221	0	0	0	2.18905	2.19717	0	0	0	6.36299	0.174204	0	3.90138	0.983285	0.0665599	0	0	0	0	0	0	0	0	33.1668	0	11.8639	0.401104	0	40.7233	37.4076	35.9238	0	0	5.59891	0	5.45213	0.368895	0.143607	0	0.262503	0	0	0	0	2.929	0.614397	0	0	0	0	0	0	0	0	0	0	0.359861	0	0	0	0	0	0	0	0	0	0	0	0	29.6091	0.304763	0	0	0	0	0	0	0	0	0	0	0	0	0
4_c00004_vamb384_MEGAHIT.k21-141.Full_110	0	0	0	0	0	0.0569204	0	0	0	0	0.738911	0	0	0	0	0	0	0.932211	0	0.151081	0	0	0	0	0	0	0	0	21.1346	0	4.47469	0	0	39.1105	39.1799	36.0541	0	0	0.115547	0	0	0	0.434672	0	0	0	0	0	0	1.57925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.0832	0.345911	0	0	0	0	0	0	0	0	0	0	0	0	0
5_c00005_vamb384_MEGAHIT.k21-141.Full_110	15.0269	4.20513	0	30.097	2.23964	3.53638	1.62367	8.08015	0	4.6042	16.6417	45.7476	0	0	1.75021	1.12609	3.13403	19.0645	9.8221	4.84962	6.44289	0	89.3161	0.875183	1.38698	8.99517	2.82023	1.4499	143.848	0.282178	106.515	0.314265	27.4213	87.7471	96.258	102.521	15.6689	137.231	12.6829	41.1448	301.387	7.22643	9.50847	5.77542	32.8053	28.229	115.728	34.7847	55.4363	92.0956	10.1905	60.8293	29.1537	82.9502	68.7408	18.7106	12.1422	32.4904	0	16.3038	6.53213	9.30431	6.30743	73.4948	76.4052	38.8457	2.37156	29.5786	27.2901	102.531	28.8885	48.2185	23.099	0	187.148	7.52197	9.67518	23.8487	0.382206	0	0.658822	88.2557	98.3483	131.901	19.4071	44.0641	50.4099	0	6.32919
6_c00006_vamb384_MEGAHIT.k21-141.Full_110	3.06855	26.3824	0	0	17.2617	17.5387	0	0	7.23381	1.86054	0.913426	0.222176	0	0	1.27964	0	62.4883	8.24853	2.61377	0.393174	1.94313	0	0	0	0.929562	8.22087	0	0	34.1477	35.7431	4.36593	0	0.689173	44.8776	46.3685	44.6815	41.6967	30.4696	0	1.61155	0.954289	0	1.6403	0	0	0	0	1.02851	0.972047	16.1807	0	2.95899	0	0	0.213949	5.04658	0	0	0	7.94682	5.15964	0	0	0	0	0	0	0.234138	2.42072	0	5.21265	0	0.207335	0	13.0845	7.61336	0	0	24.591	0	15.6749	0	23.6733	19.6447	17.9283	0	0	0	0.0908968
7_c00007_vamb384_MEGAHIT.k21-141.Full_110	0	0	0	0	0	0	0	0	0	0	0.482262	0	0	0	0	0	0	0.973464	0	0.0788818	0	0	0	0	0	0	0	0	10.3455	0	4.61016	0	0	23.0508	25.8239	30.0307	0	0	0	0	0	0	0	0	0	0	0	0	0	0.607601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.32272	0.103207	0	0	0	0	0	0	0	0	0	0	0	0	0
8_c00008_vamb384_MEGAHIT.k21-141.Full_110	0	0.158315	0	0	0	0.239647	0	0	0	0.0917687	1.65275	0	0	0	0.0808676	0	0	4.41547	0	0.159019	0	0	0	0	0	0	0	0	53.2981	0	13.9406	0	0	76.0964	84.3609	68.371	0	0	0	0	0	0	0.171575	0	0	0	0	0	0	1.66235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.8297	0.312085	0	0	0	0	0	0	0	0	0	0	0	0	0
9_c00009_vamb384_MEGAHIT.k21-141.Full_110	0	0	0	0	0	0.244866	0	0	0	0.0937693	1.19207	0	0	0	0.165259	0.212658	0	1.50389	0	0.649928	0	0	0	0	0	0	0	0	23.915	0	4.74809	0	0	38.2365	45.2406	44.7576	0	0	0	1.10997	0	0	0.29254	0	0.106813	0.177696	0	0	0	1.0728	0.0833435	0	0	0	0	0	0	0	0	0	0	0.439265	0	0	0	0	0	0	0.833642	0	0	0	0	0	21.0603	0.744578	0.628057	0	0	0	0	0	0	0	0	0	0.271285	0	0
10_c00010_vamb384_MEGAHIT.k21-141.Full_110	24.1116	29.752	0	183.072	0	29.286	6.30813	0	0	21.3343	61.572	6.83263	0	0	8.34539	3.16522	0	107.388	51.0364	10.3641	0	0	10.5326	4.96058	0	61.8573	5.43169	6.21589	390.196	20.2521	122.662	6.15951	0	44.0427	44.4579	42.8633	0	0	2.51042	5.30996	103.767	10.6932	212.299	4.78279	5.67783	5.4785	0	14.686	8.18558	98.2816	2.7469	0	3.48579	6.31652	41.1241	0	3.74034	4.63693	0	0	0	9.57337	5.66739	0.731085	6.63551	0	0	6.42907	3.98802	0	0	78.0377	2.04956	0	218.303	61.8719	1.66923	0	0.422044	0	31.0388	0	0	0	0	0	11.8249	0	5.5908
11_c00011_vamb384_MEGAHIT.k21-141.Full_110	0	0	0	0	0	0	0	0	0	0	0.338171	0	0	0	0	0	0	0.568816	0	0.0921776	0	0	0	0	0	0	0	0	12.0912	0	1.34689	0	0	20.9728	25.2707	23.9229	0	0	0	0	0	0	0.13263	0	0	0	0	0	0.379852	0.20291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.78171	0.120617	0	0	0	0	0	0	0	0	0	0	0	0	0
12_c00012_vamb384_MEGAHIT.k21-141.Full_110	0	0	0	0	0	0.278831	0	0	0	0.587343	0.467053	0	0	0	1.12914	0	0	0.883232	0	0	0	0	0	0	0	0	0	0	11.8272	0	1.65565	0	0	30.9111	30.7106	27.4001	0	0	0.566129	0	0	0	0.150313	0	0	0	0	0	0	0.71273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.43573	0.242097	0	0	0	0	0	0	0	0	0	0	0	0	0
13_c00013_vamb384_MEGAHIT.k21-141.Full_110	0	0	0	0	0	0.843609	0	0	0	0	0.995757	0	0	0	0.103526	0.133228	0	0	0	0	0	0	0	0	0	0	0	0	15.3467	0	2.97434	0.102238	0	30.5449	27.4329	30.8515	0	0	0	0	0	0	0.0732276	0	0	0	0	0	0	0.448146	0	0	0	0	0	0	0.083182	0	0	0	0	0	0.160938	0	0	0	0	0	0	0	0	0	0	0	14.0851	0.279245	0	0	0	0	0	0	0	0	0	0	0	0	0.117647
14_c00014_vamb384_MEGAHIT.k21-141.Full_110	0	0.305652	70.1278	0	0	0.848159	0.0786717	0	0	0.236273	2.00226	0	147.386	1.49122	0.832681	0	0.683406	3.47301	0	0.306968	2.52885	27.7075	3.40349	0.0763251	0	0.535049	0	0	25.6542	32.4835	5.68173	0.102789	0	44.3585	40.7689	40.7113	0	0	0.782849	2.79586	0	0	1.39884	0	0	0	0	0	0	0.788493	0	0	0	0	0	0	0	0	65.1161	0	0	0	0.161806	4.33075	0	0	0	0	1.57482	0	0	8.66869	0	101.435	16.8499	1.13819	0	0	2.0003	15.6614	4.59693	46.1973	0	0	2.0592	1.02956	0	121.424	0
15_c00015_vamb384_MEGAHIT.k21-141.Full_110	0	3.07782	0	0	0	4.97975	0	0	0	1.10759	1.10806	0	0	0	0	0	0	2.30224	0	0.106586	0	0	0	0	0	0	0	0	22.6847	0	2.49203	0	0	38.8903	36.1614	44.6312	0	0	0.326205	0	0	0	0.306778	0	0	0	0	0	0	1.40813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.8719	6.20724	0	0	0	0	0	0	0	0	0	0	0	0	0
16_c00016_vamb384_MEGAHIT.k21-141.Full_110	0	0.107426	0	1.45666	0	0.0812978	0	1.01332	4.9634	0	0.72573	0	0	0	0	0	0	0	0	0.107885	0	7.30368	0	0	0	0	0	0	16.0417	0	3.78363	0	0	41.0579	38.5178	34.1375	0	0	0	0	0	0	0.155261	0	0	0	0	0	0	0.356331	0	0	0	0	0	0.629747	0	0	0	0	0.643643	0	0	0	0	0	1.63562	0	0	0	1.02192	0	0	0	8.6943	0	0	0	22.1458	1.50126	0.605868	0	0	0	0	0	0	0	0
17_c00017_vamb384_MEGAHIT.k21-141.Full_110	0	0	0	0	0	0.081709	0	0	0	0.0625993	0.530475	0	0	0	0	0	0	1.00376	0	0.216861	0	0	0	0	0	0	0	0	16.7552	0	1.90138	0	0	39.564	36.7877	42.5284	0	0	0	0	0	0	0.156048	0	0	0	0	0	0	1.07441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.448	0.425715	0	0	0	0	0	0	0	0	0	0	0	0	0
18_c00018_vamb384_MEGAHIT.k21-141.Full_110	0	0.563009	0	0	0	0.511277	0	0	0	0.0652873	0.691552	0	0	0	0.115035	0	0	0.697882	0	0.113079	0	0	0	0	0	0	0	0	19.4527	0	3.37247	0	0	36.1597	35.9125	41.5688	0	0	0	0	0	0	0.162747	0	0	0	0	0	0	0.622537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.6416	1.40595	0	0	0	0	0	0	0	0	0	0	0	0	0
19_c00019_vamb384_MEGAHIT.k21-141.Full_110	0.69162	0.573466	0	1.55516	0	0.781152	1.15126	1.08187	0	0.777598	3.1698	0	0	0	0.468684	0.452382	0	4.26505	3.40311	0.921422	0.948931	0	6.38556	0.687316	0	2.40953	0.869414	1.25637	13.7693	2.90854	4.37615	1.73566	1.00978	48.6923	54.3012	47.9488	0	0	1.23389	0	1.39791	0.212924	0.165772	0.212615	0.908812	0.503943	0	0.502257	0	1.01458	0	0	0	1.14863	0.313421	0	0.564946	0.325476	0	0	0	0.934287	0.364296	0	1.89637	0	0	0.685903	0.590858	0	0	0	0.911166	0	12.1077	0.979839	2.67135	0	0	0	1.61711	0	0	0	0	0	0.384691	0	0.532573
20_c00020_vamb384_MEGAHIT.k21-141.Full_110	0	0.11726	17.6091	11.1297	19.1059	0.532419	0	14.3791	0	0.88388	2.30455	0.9981	3.74165	20.5991	0	0	4.71932	2.90701	0	0	18.4333	22.5881	57.4506	0	11.8325	9.85404	0	0	20.9448	2.5488	6.19489	0	35.1014	29.8015	30.8942	28.7855	1.38827	1.26807	0.360439	0.804348	6.43134	0.870775	0.932171	0.217371	1.39373	0.515222	55.201	2.05399	6.30926	0	0	2.9558	8.10914	30.5322	5.12695	15.1243	0.192535	15.9724	17.8461	14.8788	7.02562	0.636797	0.465561	69.2762	3.8776	87.0119	21.4235	13.3237	2.41627	45.6478	6.69301	29.9317	4.03673	19.1383	23.5196	0.462359	0.455185	22.9415	0	13.1102	8.2665	4.69207	2.0868	7.35886	30.8143	41.4754	0.393302	12.5408	0.680608
21_c00021_vamb384_MEGAHIT.k21-141.Full_110	0	1.99869	0	0	0	3.02501	0	0	0	2.93134	5.97134	0.333579	0	0	41.6783	0	0	1.09301	0.872106	0.118065	0	0	0	0.352273	0	16.6727	0.19805	1.15911	17.5576	4.25922	2.76056	0.71168	3.62293	41.4617	38.8945	47.094	0	3.81427	37.9462	0.806472	21.4944	0	1.45456	0	2.79484	0.258292	0	0	0	20.8014	9.453	0	0	0	0.321281	0.689288	0	0.333636	0	8.20495	4.93093	0	0	0	0	0	0	0	0.605662	1.34613	4.4738	1.11151	0.311338	0	21.1827	2.24065	0.912774	9.00082	2.88541	0	2.32073	0	0	0	3.1688	4.75258	0	0	0
22_c00022_vamb384_MEGAHIT.k21-141.Full_110	0	0.119438	0	0	0	0	0	2.25324	0	0	0.0733549	0	0	0	0.122018	0	0	0.370123	0	0	0	0	0	0	0.708944	0	0	0.130837	3.84712	0	2.1033	0.361491	0.525785	23.531	28.6287	30.2296	0	0	0	0	0	0	0.0863175	0	0	0.262394	0	0.523031	0	0.132077	0	0	0	0	0	0.70025	0	0.338932	0	0.75775	1.43121	0	0	0.507637	0	1.45289	0	0	0	0	0	0	0	0	5.25358	0	0	2.03194	0	0	1.01039	0	0	0	1.60959	3.62107	0	0	0
23_c00023_vamb384_MEGAHIT.k21-141.Full_110	420.669	47.1087	0	8.1683	0	49.8728	41.0982	1.1365	0	96.8983	311.903	17.4181	1.2815	1.76386	118.533	67.8002	0	753.076	643.471	174.346	6.97795	0	108.669	61.261	0	0	42.7232	35.5039	2291.12	11.3483	2386.24	41.5712	2.65198	434.628	483.554	428.304	0	0	135.736	128.099	59.8401	155.237	237.366	52.9327	48.8493	97.9369	0	455.861	459.278	262.476	59.1193	0	10.918	15.6855	8.88957	0	59.054	17.437	0	3.82197	0	147.218	36.4512	31.2372	255.652	1.46563	0	16.2116	268.124	0	0	231.801	19.3233	0	740.889	95.9655	54.2524	0	0.591389	0	3.3975	0	0	0	1.62372	0	206.1	0	132.729
24_c00024_vamb384_MEGAHIT.k21-141.Full_110	0	0	0	0	0	0	0	0	0	0.0705362	2.01722	0	0	0	0.497097	0	0	3.3927	0	0	0	0	0	0	0	0	0	0	51.2944	0	14.9953	0	0	58.7174	53.4967	60.4207	0	0	0	0	0	0	0.791236	0	0	0	0	0	0	1.7488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.3846	0.399716	0	0	0	0	0	0	0	0	0	0	0	0	0
25_c00025_vamb384_MEGAHIT.k21-141.Full_110	0	0	0	0	0	0.0926808	0	0	0	0.568138	0.300885	0	0	0	0	0	0	2.27721	0	0	0	0	0	0	0	0	0	0	5.37959	0	3.23517	0	0	21.8293	23.7766	30.7659	0	0	0.188241	0	0	0	0.0885145	0	0	0	0	0	0	0.135441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.68014	0.241464	0	0	0	0	0	0	0	0	0	0	0	0	0
26_c00026_vamb384_MEGAHIT.k21-141.Full_110	0	0.2658	0	0	0	0.100565	0	0	0	0	0	0	0	0	0.407314	0	0	1.64736	0	0	0	0	0	0	0	0	0	0	7.78385	0	0.780107	0	0	26.9698	24.7475	28.5813	0	0	0	0	0	0	0.192111	0	0	0	0	0	0	0.146988	0	0	0	0.443595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.20902	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27_c00027_vamb384_MEGAHIT.k21-141.Full_110	0	0	0	0	0	0	0	0	0	0.236112	1.66716	0	0	0	0.970549	0	0	3.78513	0.503307	0	0	0	0	0.304954	0	0	0	0	17.4878	0	6.77146	0	0	58.8271	48.6624	63.0251	0	0	0	0	0	0	0.882845	0	0	0	0	0	0	0.300218	0.139924	0	0.323646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.0138	0.0891942	0.526783	0	0	0	0	0	0	0	0	0	0	0	0
28_c00028_vamb384_MEGAHIT.k21-141.Full_110	0	0	0	0	0	0	0	0	0	0	0.593264	0	0	0	0	0	0	1.71041	0	0.13855	0	0	0	0	0	0	0	0	14.5477	0	2.83485	0	0	28.2743	27.8815	19.9593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.0816	0.362744	0	0	0	0	0	0	0	0	0	0	0	0	0
29_c00029_vamb384_MEGAHIT.k21-141.Full_110	0	0	0	0	0	0	0	0	0	0	0.859362	0	0	0	0	0	0	0.433573	0	0	0	0	0	0	0	0	0	0	13.9315	0	4.51697	0	0	30.3233	28.5481	29.5585	0	0	0	0	0	0	0	0	0	0	0	0	0	0.154758	0	0	0	0	0	0	0	0	0	0	0	0	0	0.594596	0	0	0	0	0	0	0	0	0	0	9.84711	0.367813	0	0	0	0	0	0	0	0	0	0	0.469286	0	0
30_c00030_vamb384_MEGAHIT.k21-141.Full_110	0	0.139944	0	0.94869	0	1.27071	0	0	0	3.40861	4.89941	0	0	0	0	0	0	0.433666	0.518967	0	0	0	1.55824	0	0	0	0	0	16.3935	0	3.69649	0	2.46438	22.6095	22.178	22.1071	0	0	0	0	0	0	1.21381	0	0.184821	0	0	0	0	0.928746	0	0	0	0	1.14721	0	0	0	0	0.887847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.5728	0.183945	0	0	0	0	0	0	0	0	0	0	0	0	0
31_c00031_vamb384_MEGAHIT.k21-141.Full_110	0	0	0	0	0	0	0	0	0	0.0828194	0.175428	0	0	0	0	0	0	1.32761	0	0.430155	0	0	0	0	0	0	0	0	13.8016	0	2.51473	0	0	26.1673	29.4213	38.868	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0507	0.281565	0	0	0	0	0	0	0	0	0	0	0	0	0
32_c00032_vamb384_MEGAHIT.k21-141.Full_110	0	0.144346	0	0	0	0	0	0	0	0	0.354639	0	0	0	0.147465	0	0	3.13115	0	0	0	0	0	0	0	0	0	0	13.5278	0	4.23639	0	0	31.2843	38.8888	28.5727	0	0	0	0	0	0	0.417345	0	0	0	0	0	0	0.638676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.921	0.474336	0	0	0	0	0	0	0	0	0	0	0	0	0
33_c00033_vamb384_MEGAHIT.k21-141.Full_110	0	0	0	0	0	0	0	0	0	0	0.532603	0	0	0	0.738217	0	0	0	0	0	0	0	0	0	0	0	0	0.316668	16.9302	0	1.69661	0	0	20.5018	27.7705	31.6331	0	0	0	0	0.440321	0	0.417851	0	0	0	0	0	0	0.639451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.89999	0.379929	0	0	0	0	0	0	0	0	0	0	0	0	0
34_c00034_vamb384_MEGAHIT.k21-141.Full_110	0	0	0	0	0	0.338397	0	0	0	0.17292	1.00723	0	0	0	0.304595	0.392046	0	1.3859	0.552808	0.449024	0	0	0	0	0	0	0	0	10.9153	0	6.12528	0	0	28.7853	23.0349	24.4025	0	0	0.687515	0	0.454195	0.553653	0	0	0.590654	0	0	0	0	0.329822	0	0	0	0	0	0	0.122427	0	0	0	0	0.404771	0	0	0.821534	0	0	0	0.767719	0	0	0	0	0	4.45916	0.195955	0.578598	0	0	0	0	0	0	0	0	0	0	0	0.346055
35_c00035_vamb384_MEGAHIT.k21-141.Full_110	0.451065	6.13376	0	5.07071	0	3.16952	0	0	0	0.867658	3.8594	0	0	0	0.305672	0	0	0.463599	0.55476	0	0	0	0	0	0	2.3579	0	0	18.4025	0	1.75626	0	0	54.2369	52.4563	50.1167	0	0	0	0	0	0	0.216281	0.554564	0	0.32866	0	0	0	1.15847	0	0	0	0	0	0	0	0	0	0	0	0	0.118793	0.635739	0	0	0	0	0	0	0	0	0	0	12.6351	5.7028	0	0	0	0	0	0	0	0	0	0	0	0	0
36_c00036_vamb384_MEGAHIT.k21-141.Full_110	0	0.157174	0	0	0	0.237843	0	0	0	0	2.41357	0	0	0	0.64228	0	0	5.35763	0	0	0	0	0	0	0	0	0	0	27.1606	0	2.30639	0	0	57.2923	64.1404	62.8274	0	0	0	0	0	0	0.795329	0	0	0	0	0	0	1.91274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.3167	0.206604	0	0	0	0	0	0	0	0	0	0	0	0	0
37_c00037_vamb384_MEGAHIT.k21-141.Full_110	4.43387	29.8884	0	0	1.62336	43.946	2.02807	1.73614	0	5.46155	12.8776	11.1266	1.73769	0	14.1889	2.57836	0	21.7727	10.2997	7.05364	61.7855	1.85148	75.5686	1.95782	0	5.64965	3.86442	2.23351	119.958	10.2818	35.0062	2.47261	7.31911	153.113	165.25	183.817	0	0	15.0727	4.48155	72.9989	11.2277	11.8122	3.02826	8.41623	9.71178	5.21279	30.7669	8.80602	23.9939	5.39227	0	16.7556	59.9395	21.7592	0	1.87889	10.6626	7.46342	3.73146	2.28156	7.9856	2.98412	7.25433	28.8131	0	0	89.8743	17.6682	6.734	0	0.772505	12.1137	0	98.0397	69.1325	8.90068	0	4.0104	0	3.37178	0	0	0	5.1263	0	8.22081	0	3.91556
38_c00038_vamb384_MEGAHIT.k21-141.Full_110	0	0	0	0	1.40837e-06	0	0	2.69049e-08	0	1.53876	0	0	0	0	1.44609	0	0	0	3.68843	0	0	0	0	0	0	0	0	0	24.1208	4.80424	0	0	0	36.7832	39.1589	22.1119	3.92775	4.3744e-08	6.49189e-08	0	0	0	0	0	0	0	0	4.35002	0	1.8345	0	0	0	3.89159	0	0	0	0.000215109	0	0	0	0	0	3.6571e-05	0	0	0	0	0	0	0	0	0	0	19.256	1.52789	0	0	0	0	0	0	0	0	0	0	3.33733	0	0
39_c00039_vamb384_MEGAHIT.k21-141.Full_110	0	0	0	0	0	0	0	0	0	0.193903	0.513346	0	0	0	0	0	0	0.517949	0	0.67118	0	0	0	0	0	0	0	0	14.1978	0	4.90528	0	0	25.0298	20.1978	19.4087	0	0	0	0	0	0	0.120833	0	0	0	0	0	0	1.84937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.5286	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40_c00040_vamb384_MEGAHIT.k21-141.Full_110	0	0	0	0	0	0	0	0	0	0	0.10419	0	0	0	0.693127	0	0	0	0	0.510827	0	0	0	0	0	0	0	0	12.4208	0	0.995571	0	0	35.4471	31.9212	31.3391	0	0	0	0	0	0	0.122623	0	0	0	0	0	0	0.750717	0	0	0	0	0	0	0.139323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.6397	0.334452	0	0	0	0	0	0	0	0	0	0	0	0	0
41_c00041_vamb384_MEGAHIT.k21-141.Full_110	0	0	0	0	0	0	0	0	0	0.0993978	0.105258	0	0	0	0.525174	0	0	1.593	0	0.516057	0	0	0	0	0	0	0	0	16.0618	0	1.50866	0	0	49.6336	50.2396	46.9733	0	0	0	0	0	0	0.247763	0	0	0	0	0	0	0.758428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.5681	0.225254	0	0	0	0	0	0	0	0	0	0	0	0	0
42_c00042_vamb384_MEGAHIT.k21-141.Full_110	0	0.516327	0	0	0	0.39064	0	0	0	0.39934	0.634324	0	0	0	0	0	0	2.13333	0	0.172774	0	0	0	0	0	0	0	0	9.57863	0	0.505096	0	0	31.878	34.7768	31.1256	0	0	0	0	0	0.31965	0.870986	0	0	0	0	0	0	0.571325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.205	0.452489	0	0	0	0	0	0	0	0	0	0	0	0	0
43_c00043_vamb384_MEGAHIT.k21-141.Full_110	0	0.344241	0	0	0	2.99511	0	0	0	0.59905	1.05728	0	0	0	0	0	0	2.66684	0	0	0	0	0	0	0	0	0	0	22.1835	0	2.52564	0	0	31.8801	31.7103	37.6809	0	0	0	0	0	0	0.497739	0	0	0	0	0	0	1.14273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.1429	5.54335	0	0	0	0	0	0	0	0	0	0	0	0	0
44_c00044_vamb384_MEGAHIT.k21-141.Full_110	0	0	0	0	0	0	0	0	0	0	0.108629	0	0	0	0	0	0	1.64398	0	0	0	0	0	0	0	0	0	0	4.1441	0	0	0	0	10.8021	14.0129	12.1196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.480133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45_c00045_vamb384_MEGAHIT.k21-141.Full_110	1.07221	2.84497	0	0	0	4.97739	0	0	0	4.33217	61.8213	0	0	0	14.8955	0	0	223.155	2.637	5.89022	0	0	0	0	0	0	0	0	1010.99	0	378.322	0	0	1409.53	1373.4	1349.28	0	0	0.2734	0	0	0	14.7837	0	0	0	0	0	0	58.2422	0	0	0	0	0.971666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1346.61	12.6221	0	0	0	0	0	0	0	0	0	0	0	0	0.206346
46_c00046_vamb384_MEGAHIT.k21-141.Full_110	0	0	0	0	0	0	0	0	0	0.104444	0.884775	0	0	0	0.183932	0	0	1.11583	0	0.18073	0	0	0	0	0	0	0	0	23.2058	0	5.8121	0	0	29.8006	18.9033	30.5056	0	0	0	0	0	0	0	0	0	0	0	0	0	0.597719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.7713	0.11834	0	0	0	0	0	0	0	0	0	0	0	0	0
47_c00047_vamb384_MEGAHIT.k21-141.Full_110	0	0	0	0	0	0.13684	0	0	0	0.104926	2.8888	0	0	0	0	0	0	0.560493	0	0	0	0	0	0	0	0	0	0	59.3424	0	14.3319	0	0	80.1917	84.9204	81.2653	0	0	0	0	0	0	0.130771	0	0	0	0	0	0	3.20259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.4722	0.475545	0	0	0	0	0	0	0	0	0	0	0	0	0
48_c00048_vamb384_MEGAHIT.k21-141.Full_110	0	0	0	0	0	0.140091	0	0	0	0.322274	0.341253	0	0	0	0.567525	0	0	0.573819	0	0	0	0	0	0	0	0	0.155977	0	23.3256	0	4.34743	0	0	31.7451	22.7437	29.966	0	0	0	1.26947	0	0	0.133884	0	0	0	0	0	0	0.409863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.4267	0.365144	0	0	0	0	0	0	0	0	0	0	0	0	0
49_c00049_vamb384_MEGAHIT.k21-141.Full_110	0.566907	0.188027	0	0	0	0.284494	0	0	0	1.09082	3.34962	0	0	0	1.15253	0	0	3.49594	1.39417	0	0	0	0	0	0	0	0	0.412082	34.7017	0	5.51796	0	0	52.6122	54.3828	50.475	0	0	0	0	0	0	0.815693	0	0	0	0	0	0	1.66476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.4609	0	0	0	0	0	0	0	0	0	0	0	0.630665	0	0
